Park,may15 total,may16 total,month diff,ytd15 total,ytd16 total,ytd diff
Abraham Lincoln Birthplace NHP,15904,46998,31094,42074,95355,53281
Acadia NP,187205,187205,0,291685,343259,51574
Adams NHP,21037,21037,0,29280,31029,1749
African Burial Ground NM,7348,5122,-2226,17600,16733,-867
Agate Fossil Beds NM,1674,1816,142,2775,2946,171
Alibates Flint Quarries NM,1273,1273,0,2250,3067,817
Allegheny Portage Railroad NHS,13590,13590,0,66186,65011,-1175
Amistad NRA,159638,159638,0,583720,537030,-46690
Andersonville NHS,17562,16469,-1093,58970,57627,-1343
Andrew Johnson NHS,6914,6648,-266,16817,17588,771
Antietam NB,44958,34306,-10652,100036,94703,-5333
Apostle Islands NL,5908,5908,0,55498,14060,-41438
Appomattox Court House NHP,45075,45075,0,209112,221939,12827
Arches NP,179804,179804,0,477310,503549,26239
Arkansas Post NMEM,6456,6456,0,16974,17525,551
Arlington House The R.E. Lee MEM,79827,79827,0,217594,219262,1668
Assateague Island NS,221837,221837,0,458092,489594,31502
Aztec Ruins NM,6301,6301,0,17618,17911,293
Badlands NP,68239,68239,0,138712,133299,-5413
Bandelier NM,24647,24647,0,65729,74109,8380
Bent's Old Fort NHS,3104,3104,0,8536,9873,1337
Bering Land Bridge NPRES,172,172,0,1067,1067,0
Big Bend NP,30707,30707,0,212422,203521,-8901
Big Cypress NPRES,72510,72510,0,597631,585930,-11701
Big Hole NB,5444,5444,0,8110,8129,19
Big South Fork NRRA,69955,69955,0,212990,223750,10760
Big Thicket NPRES,11378,11378,0,34076,34669,593
Bighorn Canyon NRA,26009,24,-25985,57953,37407,-20546
Biscayne NP,57450,57450,0,225407,218312,-7095
Black Canyon of the Gunnison NP,23176,23176,0,46776,45339,-1437
Blue Ridge PKWY,1406028,1406028,0,3924120,4221815,297695
Bluestone NSR,4744,4744,0,5517,5532,15
Booker T. Washington NM,3250,3034,-216,9288,8128,-1160
Boston African American NHS,39742,39742,0,59762,61151,1389
Boston NHP,169427,169427,0,615968,639722,23754
Brown v. Board of Education NHS,2437,2437,0,11469,12183,714
Bryce Canyon NP,197742,197742,0,436929,463235,26306
Buck Island Reef NM,4571,39,-4532,22837,17272,-5565
Buffalo NR,161723,161723,0,417626,454315,36689
Cabrillo NM,81309,81309,0,414296,393170,-21126
Canaveral NS,191627,191627,0,779438,793869,14431
Cane River Creole NHP,2815,2815,0,13425,9547,-3878
Canyon de Chelly NM,75728,75728,0,311690,185144,-126546
Canyonlands NP,91284,91284,0,229364,289078,59714
Cape Cod NS,352496,352496,0,935365,1054298,118933
Cape Hatteras NS,211471,211471,0,563663,604203,40540
Cape Lookout NS,46888,46888,0,100314,91194,-9120
Capitol Reef NP,131165,131165,0,289014,311886,22872
Capulin Volcano NM,4836,4836,0,13300,13300,0
Carl Sandburg Home NHS,9194,9194,0,35248,33320,-1928
Carlsbad Caverns NP,45315,14945,-30370,160938,119904,-41034
Casa Grande Ruins NM,4048,4048,0,46656,46788,132
Castillo de San Marcos NM,76787,81701,4914,386764,413604,26840
Castle Clinton NM,469295,469295,0,1449501,1559064,109563
Catoctin Mountain Park,34293,34293,0,86960,70605,-16355
Cedar Breaks NM,42466,42466,0,78964,103204,24240
Cesar E. Chavez NM,1031,1031,0,4658,6603,1945
Chaco Culture NHP,6003,6003,0,14012,18715,4703
Chamizal NMEM,13456,13456,0,36865,39724,2859
Channel Islands NP,34023,34023,0,128903,121470,-7433
Charles Pinckney NHS,3837,3837,0,19815,20336,521
Charles Young Buffalo Soldiers NM,169,169,0,1359,4623,3264
Chattahoochee River NRA,378812,378812,0,1314383,1106928,-207455
Chesapeake & Ohio Canal NHP,689455,0,-689455,1780593,1197068,-583525
Chickamauga & Chattanooga NMP,104173,104173,0,406503,418345,11842
Chickasaw NRA,119118,119118,0,380428,394177,13749
Chiricahua NM,5595,5595,0,34056,31547,-2509
Christiansted NHS,9370,8189,-1181,54979,52777,-2202
City of Rocks NRES,14476,14476,0,22461,22561,100
Clara Barton NHS,428,428,0,1639,1639,0
Colonial NHP,330316,330316,0,1196242,1201181,4939
Colorado NM,59202,59202,0,201920,167612,-34308
Congaree NP,10988,10988,0,42445,42445,0
Coronado NMEM,9671,9671,0,57288,58421,1133
Cowpens NB,24809,24809,0,86655,116993,30338
Crater Lake NP,48217,48217,0,98197,87849,-10348
Craters of the Moon NM,26736,26736,0,54556,55274,718
Cumberland Gap NHP,90820,90820,0,296772,93435,-203337
Cumberland Island NS,6264,6264,0,28044,28044,0
Curecanti NRA,95113,95113,0,189244,192835,3591
Cuyahoga Valley NP,283076,283076,0,748128,728159,-19969
Dayton Aviation Heritage NHP,12012,12012,0,24851,25647,796
De Soto NMEM,11510,11510,0,182160,108798,-73362
Death Valley NP,122137,122137,0,494063,606907,112844
Delaware Water Gap NRA,353643,353643,0,1176041,1197117,21076
Denali NP & PRES,55920,55920,0,62267,65728,3461
Devils Postpile NM,1995,1995,0,1995,1995,0
Devils Tower NM,31440,31440,0,52076,58028,5952
Dinosaur NM,28446,28446,0,64665,61726,-2939
Dry Tortugas NP,7010,7010,0,32654,25345,-7309
Edgar Allan Poe NHS,1343,1343,0,5306,5739,433
Effigy Mounds NM,8211,8211,0,27260,24063,-3197
Eisenhower NHS,5768,5768,0,13526,15000,1474
El Malpais NM,19693,19693,0,74850,64407,-10443
El Morro NM,5451,5451,0,17318,21075,3757
Eleanor Roosevelt NHS,6684,6684,0,11506,13084,1578
Eugene O'Neill NHS,604,604,0,1755,1606,-149
Everglades NP,70711,70711,0,616884,468143,-148741
Federal Hall NMEM,11813,11813,0,45991,85396,39405
Fire Island NS,34295,34295,0,75760,88388,12628
First Ladies NHS,1274,1274,0,3302,4413,1111
Flight 93 NMEM,31150,31150,0,64989,78842,13853
Florissant Fossil Beds NM,6150,6150,0,16482,15057,-1425
Ford's Theatre NHS,82887,82887,0,301045,301045,0
Fort Bowie NHS,718,718,0,5088,4863,-225
Fort Caroline NMEM,26652,26652,0,124332,120611,-3721
Fort Davis NHS,5115,5115,0,24901,27634,2733
Fort Donelson NB,25570,25570,0,108125,114081,5956
Fort Frederica NM,18690,18690,0,93753,89842,-3911
Fort Laramie NHS,7340,9123,1783,13310,14181,871
Fort Larned NHS,4116,4116,0,12620,10994,-1626
Fort Matanzas NM,67914,67914,0,237473,225424,-12049
Fort McHenry NM & HS,72843,72843,0,209433,207645,-1788
Fort Necessity NB,16345,16345,0,37722,36354,-1368
Fort Point NHS,180033,180033,0,714085,795171,81086
Fort Pulaski NM,47074,33339,-13735,171672,161756,-9916
Fort Raleigh NHS,37175,37175,0,74045,79947,5902
Fort Scott NHS,4557,4557,0,8926,10897,1971
Fort Smith NHS,8860,8860,0,37445,41951,4506
Fort Stanwix NM,7817,7817,0,14961,14916,-45
Fort Sumter NM,90943,90943,0,349422,380469,31047
Fort Union NM,1279,1279,0,3802,4082,280
Fort Union Trading Post NHS,2032,2032,0,3136,3263,127
Fort Vancouver NHS,88314,88314,0,287242,329913,42671
Fort Washington Park,29917,29917,0,115211,199952,84741
Fossil Butte NM,1811,1811,0,3301,3201,-100
Franklin Delano Roosevelt MEM,482581,482581,0,1463242,1689450,226208
Frederick Douglass NHS,7110,7110,0,22553,25607,3054
Frederick Law Olmsted NHS,944,944,0,2264,2711,447
Fredericksburg & Spotsylvania NMP,91766,91766,0,350921,405404,54483
Friendship Hill NHS,3275,3275,0,7581,8760,1179
Gates of the Arctic NP & PRES,354,354,0,969,1531,562
Gateway NRA,587694,587694,0,1774126,1751876,-22250
Gauley River NRA,7932,7932,0,20473,24534,4061
General Grant NMEM,10598,10598,0,29797,37742,7945
George Rogers Clark NHP,37813,37813,0,52336,55323,2987
George Washington Birthplace NM,15354,15354,0,41232,41983,751
George Washington Carver NM,5317,5317,0,14634,18354,3720
George Washington MEM PKWY,839212,839212,0,2747940,2867194,119254
Gettysburg NMP,164432,164432,0,356152,411603,55451
Gila Cliff Dwellings NM,3718,3718,0,17525,17863,338
Glacier Bay NP & PRES,74519,74519,0,75308,75246,-62
Glacier NP,134741,134741,0,227767,225119,-2648
Glen Canyon NRA,243669,243669,0,632498,454930,-177568
Golden Gate NRA,1296405,1296405,0,6079270,5790378,-288892
Golden Spike NHS,7336,7336,0,18813,17129,-1684
Governors Island NM,40981,40981,0,41376,41376,0
Grand Canyon NP,541338,541338,0,1881982,1914019,32037
Grand Portage NM,4883,4503,-380,10344,10108,-236
Grand Teton NP,231708,231708,0,440038,446929,6891
Grant-Kohrs Ranch NHS,1853,1853,0,3466,3605,139
Great Basin NP,11898,11898,0,25745,25345,-400
Great Sand Dunes NP & PRES,40804,40804,0,61969,69652,7683
Great Smoky Mountains NP,1017955,1017955,0,3029205,3370140,340935
Greenbelt Park,20662,20662,0,58924,59145,221
Guadalupe Mountains NP,14259,14259,0,75971,72510,-3461
Guilford Courthouse NMP,26435,31231,4796,85831,108110,22279
Gulf Islands NS,485932,485932,0,1671440,1509542,-161898
Hagerman Fossil Beds NM,2870,2870,0,9511,9225,-286
Haleakala NP,106655,106655,0,488160,523862,35702
Hamilton Grange NMEM,2531,2531,0,8137,25772,17635
Hampton NHS,3324,3324,0,13153,11510,-1643
Harpers Ferry NHP,40173,40173,0,74866,88241,13375
Harry S Truman NHS,3818,3818,0,10203,11048,845
Hawaii Volcanoes NP,169435,169435,0,762753,777338,14585
Herbert Hoover NHS,14225,0,-14225,45251,29707,-15544
Home of Franklin D. Roosevelt NHS,19392,19392,0,44804,54457,9653
Homestead NM of America,8939,8939,0,27046,27627,581
Hopewell Culture NHP,5371,5371,0,12306,15215,2909
Hopewell Furnace NHS,5630,5290,-340,13447,17032,3585
Horseshoe Bend NMP,10354,10354,0,36168,36880,712
Hot Springs NP,130482,130482,0,506273,501806,-4467
Hovenweep NM,4604,4604,0,11813,13425,1612
Hubbell Trading Post NHS,10082,10082,0,24119,23522,-597
Independence NHP,453750,453750,0,1350660,1513867,163207
Indiana Dunes NL,141525,141525,0,431315,461783,30468
Isle Royale NP,947,947,0,1098,1137,39
James A. Garfield NHS,1530,1530,0,2108,7441,5333
